"名称","個別医薬品コード","長径","短径","直径","厚さ"
"ユーロジン1mg錠","1124001F1022","","","7.0","2.4"
"エスタゾラム錠1mg「アメル」","1124001F1030","","","7.0","2.3"
"ユーロジン2mg錠","1124001F2029","","","7.1","2.4"
"エスタゾラム錠2mg「アメル」","1124001F2037","","","7.0","2.3"
"ベンザリン錠2","1124003F1021","9.2","5.5","","3.6"
"ベンザリン錠5","1124003F2222","9.0","5.4","","3.7"
"ネルボン錠5mg","1124003F2230","","","11.1","3.6"
"ニトラゼパム錠5mg「トーワ」","1124003F2249","","","7.0","3.0"
"ニトラゼパム錠5mg「ツルハラ」","1124003F2273","","","7.5","3.7"
"ニトラゼパム錠5mg「TCK」","1124003F2303","9.0","5.4","","3.4"
"ニトラゼパム錠5mg「NIG」","1124003F2311","","","8.4","3.6"
"ネルボン錠10mg","1124003F3083","","","11.1","3.6"
"ベンザリン錠10","1124003F3121","9.0","5.4","","3.7"
"ニトラゼパム錠10mg「ツルハラ」","1124003F3164","","","9.0","3.7"
"ニトラゼパム錠10mg「TCK」","1124003F3172","9.0","5.4","","3.7"
"ソメリン錠5mg","1124005F1020","","","7.1","2.4"
"ソメリン錠10mg","1124005F2027","","","8.1","2.7"
"トリアゾラム錠0.125mg「TCK」","1124007F1097","7.9","5.7","","2.1"
"トリアゾラム錠0.125mg「日医工」","1124007F1135","","","7.9","2.6"
"トリアゾラム錠0.125mg「CH」","1124007F1143","7.9","5.6","","2.1"
"トリアゾラム錠0.125mg「日新」","1124007F1160","7.9","5.7","",""
"トリアゾラム錠0.125mg「FY」","1124007F1178","8.0","5.6","","2.2"
"トリアゾラム錠0.25mg「TCK」","1124007F2204","7.9","5.7","","2.2"
"トリアゾラム錠0.25mg「日医工」","1124007F2239","","","7.9","2.6"
"トリアゾラム錠0.25mg「CH」","1124007F2247","7.0","5.0","","2.3"
"トリアゾラム錠0.25mg「FY」","1124007F2271","8.0","5.6","","2.2"
"フルニトラゼパム錠1mg「アメル」","1124008F1067","","","7.1","2.7"
"フルニトラゼパム錠1mg「TCK」","1124008F1091","","","7.1","2.7"
"フルニトラゼパム錠2mg「アメル」","1124008F2047","","","8.1","4.0"
"フルニトラゼパム錠2mg「TCK」","1124008F2098","","","8.1","4.0"
"ブロチゾラム錠0.25mg「CH」","1124009F1282","","","8.0","2.4"
"ブロチゾラム錠0.25mg「オーハラ」","1124009F1304","","","8.0","2.3"
"ブロチゾラム錠0.25mg「サワイ」","1124009F1312","","","8.0","2.8"
"ブロチゾラム錠0.25mg「アメル」","1124009F1339","","","6.0","2.1"
"ブロチゾラム錠0.25mg「トーワ」","1124009F1347","","","8.0","2.4"
"ブロチゾラム錠0.25mg「日新」","1124009F1363","10.0","6.5","",""
"ブロチゾラム錠0.25mg「テバ」","1124009F1371","","","8.0","2.4"
"ブロチゾラム錠0.25mg「ヨシトミ」","1124009F1398","","","8.0","2.4"
"ブロチゾラム錠0.25mg「AFP」","1124009F1401","","","8.0","2.3"
"ブロチゾラム錠0.25mg「EMEC」","1124009F1410","","","8.0","3.2"
"ブロチゾラムOD錠0.25mg「JG」","1124009F2068","","","8.0","2.9"
"ブロチゾラムOD錠0.25mg「サワイ」","1124009F2076","","","8.0","2.8"
"ブロチゾラムOD錠0.25mg「アメル」","1124009F2084","","","7.0","2.4"
"ブロチゾラムOD錠0.25mg「テバ」","1124009F2092","","","8.0","2.9"
"エバミール錠1.0","1124010F1021","","","7.0","2.4"
"ロラメット錠1.0","1124010F1030","","","6.5","3.3"
"セレナール錠5","1124013F1033","","","5.8","3.4"
"セレナール錠10","1124013F2064","","","7.4","4.0"
"セパゾン錠1","1124014F1038","","","6.0","1.9"
"セパゾン錠2","1124014F2034","","","7.0","2.4"
"ジアゼパム錠2「サワイ」","1124017F2046","","","8.0","2.6"
"ジアゼパム錠2「トーワ」","1124017F2054","","","8.0","2.7"
"2mgセルシン錠","1124017F2135","","","6.1","2.4"
"ホリゾン錠2mg","1124017F2151","","","6.0","2.4"
"ジアゼパム錠2mg「アメル」","1124017F2194","","","7.0","1.95"
"ジアゼパム錠2mg「ツルハラ」","1124017F2216","","","6.0","2.5"
"5mgセルシン錠","1124017F4049","","","7.1","2.3"
"ジアゼパム錠5「トーワ」","1124017F4065","","","8.0","2.7"
"ホリゾン錠5mg","1124017F4162","","","7.0","2.5"
"ジアゼパム錠5mg「アメル」","1124017F4200","","","7.0","1.95"
"ジアゼパム錠5mg「ツルハラ」","1124017F4219","","","7.5","3.5"
"10mgセルシン錠","1124017F5037","","","8.1","2.6"
"ジアゼパム錠10mg「ツルハラ」","1124017F5096","","","8.0","2.7"
"メダゼパム錠2（ツルハラ）","1124021F1046","","","6.0","3.9"
"レスミット錠2","1124021F1054","","","6.1","3.7"
"メダゼパム錠5（ツルハラ）","1124021F2123","","","6.0","3.9"
"レスミット錠5","1124021F2166","","","6.1","3.7"
"ロラゼパム錠0.5mg「サワイ」","1124022F1083","","","5.0","2.4"
"ロラゼパム錠1mg「サワイ」","1124022F2110","","","6.0","2.4"
"コンスタン0.4mg錠","1124023F1029","","","6.6","2.5"
"アルプラゾラム錠0.4mg「トーワ」","1124023F1100","","","6.5","2.5"
"アルプラゾラム錠0.4mg「サワイ」","1124023F1118","","","6.0","2.4"
"アルプラゾラム錠0.4mg「アメル」","1124023F1126","","","6.0","2.1"
"コンスタン0.8mg錠","1124023F2025","","","7.1","2.7"
"アルプラゾラム錠0.8mg「トーワ」","1124023F2050","","","7.0","2.7"
"アルプラゾラム錠0.8mg「サワイ」","1124023F2076","","","7.1","2.7"
"アルプラゾラム錠0.8mg「アメル」","1124023F2084","","","7.5","2.7"
"コレミナール錠4mg","1124024F1031","","","7.0","3.2"
"メレックス錠0.5mg","1124025F1028","","","6.5","1.9"
"メレックス錠1mg","1124025F2024","","","7.0","2.2"
"トフィソパム錠50mg「サワイ」","1124026F1332","","","7.0","2.4"
"トフィソパム錠50mg「トーワ」","1124026F1340","","","8.0","3.0"
"5mgコントール錠","1124028F1030","","","5.7","3.3"
