"名称","個別医薬品コード","長径","短径","直径","厚さ"
"ユーロジン1mg錠","1124001F1022","","","7.0mm","2.4mm"
"エスタゾラム錠1mg「アメル」","1124001F1030","","","約7.0mm","約2.3mm"
"ユーロジン2mg錠","1124001F2029","","","7.1mm","2.4mm"
"エスタゾラム錠2mg「アメル」","1124001F2037","","","約7.0mm","約2.3mm"
"ベンザリン錠2","1124003F1021","約9.2mm","約5.5mm","","約3.6mm"
"ベンザリン錠5","1124003F2222","約9.0mm","約5.4mm","","約3.7mm"
"ネルボン錠5mg","1124003F2230","","","11.1mm","3.6mm"
"ニトラゼパム錠5mg「トーワ」","1124003F2249","","","7.0mm","3.0mm"
"ニトラゼパム錠5mg「ツルハラ」","1124003F2273","","","約 7.5mm","約 3.7mm"
"ニトラゼパム錠5mg「TCK」","1124003F2303","9.0mm","5.4mm","","3.4mm"
"ニトラゼパム錠5mg「NIG」","1124003F2311","","","8.4mm","3.6mm"
"ネルボン錠10mg","1124003F3083","","","11.1mm","3.6mm"
"ベンザリン錠10","1124003F3121","約9.0mm","約5.4mm","","約3.7mm"
"ニトラゼパム錠10mg「ツルハラ」","1124003F3164","","","約 9.0mm","約 3.7mm"
"ニトラゼパム錠10mg「TCK」","1124003F3172","9.0mm","5.4mm","","3.7mm"
"ソメリン錠5mg","1124005F1020","","","7.1mm","2.4mm"
"ソメリン錠10mg","1124005F2027","","","8.1mm","2.7mm"
"トリアゾラム錠0.125mg「TCK」","1124007F1097","7.9mm","5.7mm","","2.1mm"
"トリアゾラム錠0.125mg「日医工」","1124007F1135","","","7.9×4.1 mm","2.6mm"
"トリアゾラム錠0.125mg「CH」","1124007F1143","7.9mm","5.6mm","","2.1mm"
"トリアゾラム錠0.125mg「日新」","1124007F1160","7.9mm","5.7mm","",""
"トリアゾラム錠0.125mg「FY」","1124007F1178","約8.0mm","約5.6mm","","約2.2mm"
"トリアゾラム錠0.25mg「TCK」","1124007F2204","7.9mm","5.7mm","","2.2mm"
"トリアゾラム錠0.25mg「日医工」","1124007F2239","","","7.9×4.1 mm","2.6mm"
"トリアゾラム錠0.25mg「CH」","1124007F2247","7.0mm","5.0mm","","2.3mm"
"トリアゾラム錠0.25mg「FY」","1124007F2271","約8.0mm","約5.6mm","","約2.2mm"
"フルニトラゼパム錠1mg「アメル」","1124008F1067","","","約7.1mm","約2.7mm"
"フルニトラゼパム錠1mg「TCK」","1124008F1091","","","7.1mm","2.7mm"
"フルニトラゼパム錠2mg「アメル」","1124008F2047","","","約8.1mm","約4.0mm"
"フルニトラゼパム錠2mg「TCK」","1124008F2098","","","8.1mm","4.0mm"
"ブロチゾラム錠0.25mg「CH」","1124009F1282","","","8.0mm","2.4mm"
"ブロチゾラム錠0.25mg「オーハラ」","1124009F1304","","","8.0mm","2.3mm"
"ブロチゾラム錠0.25mg「サワイ」","1124009F1312","","","8.0mm","2.8mm"
"ブロチゾラム錠0.25mg「アメル」","1124009F1339","","","約6.0mm","約2.1mm"
"ブロチゾラム錠0.25mg「トーワ」","1124009F1347","","","8.0mm","2.4mm"
"ブロチゾラム錠0.25mg「日新」","1124009F1363","10.0mm","6.5mm","",""
"ブロチゾラム錠0.25mg「テバ」","1124009F1371","","","8.0mm","2.4mm"
"ブロチゾラム錠0.25mg「ヨシトミ」","1124009F1398","","","8.0mm","2.4mm"
"ブロチゾラム錠0.25mg「AFP」","1124009F1401","","","8.0mm","2.3mm"
"ブロチゾラム錠0.25mg「EMEC」","1124009F1410","","","8.0mm","3.2mm"
"ブロチゾラムOD錠0.25mg「JG」","1124009F2068","","","8.0mm","2.9mm"
"ブロチゾラムOD錠0.25mg「サワイ」","1124009F2076","","","8.0mm","2.8mm"
"ブロチゾラムOD錠0.25mg「アメル」","1124009F2084","","","約7.0mm","約2.4mm"
"ブロチゾラムOD錠0.25mg「テバ」","1124009F2092","","","8.0mm","2.9mm"
"エバミール錠1.0","1124010F1021","","","7.0mm","2.4mm"
"ロラメット錠1.0","1124010F1030","","","6.5mm","3.3mm"
"セレナール錠5","1124013F1033","","","5.8mm","3.4mm"
"セレナール錠10","1124013F2064","","","7.4mm","4.0mm"
"セパゾン錠1","1124014F1038","","","6.0mm","1.9mm"
"セパゾン錠2","1124014F2034","","","7.0mm","2.4mm"
"ジアゼパム錠2「サワイ」","1124017F2046","","","8.0mm","2.6mm"
"ジアゼパム錠2「トーワ」","1124017F2054","","","8.0mm","2.7mm"
"2mgセルシン錠","1124017F2135","","","6.1mm","2.4mm"
"ホリゾン錠2mg","1124017F2151","","","6.0mm","2.4mm"
"ジアゼパム錠2mg「アメル」","1124017F2194","","","約7.0mm","約1.95mm"
"ジアゼパム錠2mg「ツルハラ」","1124017F2216","","","約6.0mm","約2.5mm"
"5mgセルシン錠","1124017F4049","","","7.1mm","2.3mm"
"ジアゼパム錠5「トーワ」","1124017F4065","","","8.0mm","2.7mm"
"ホリゾン錠5mg","1124017F4162","","","7.0mm","2.5mm"
"ジアゼパム錠5mg「アメル」","1124017F4200","","","約7.0mm","約1.95mm"
"ジアゼパム錠5mg「ツルハラ」","1124017F4219","","","約7.5mm","約3.5mm"
"10mgセルシン錠","1124017F5037","","","8.1mm","2.6mm"
"ジアゼパム錠10mg「ツルハラ」","1124017F5096","","","約8.0mm","約2.7mm"
"メダゼパム錠2（ツルハラ）","1124021F1046","","","約6.0mm","約3.9mm"
"レスミット錠2","1124021F1054","","","約6.1mm","約3.7mm"
"メダゼパム錠5（ツルハラ）","1124021F2123","","","約6.0mm","約3.9mm"
"レスミット錠5","1124021F2166","","","約6.1mm","約3.7mm"
"ロラゼパム錠0.5mg「サワイ」","1124022F1083","","","5.0mm","2.4mm"
"ロラゼパム錠1mg「サワイ」","1124022F2110","","","6.0mm","2.4mm"
